Tahun;Negara;Seri;Kuartil 1;Kuartil 2;Kuartil 3;Kuartil 4;Total Penjualan
2014;Indonesia;Galaxy A5;300000;280000;350000;400000;1330000
2014;USA;Galaxy A5;500000;480000;450000;550000;1980000
2014;India;Galaxy A5;400000;380000;350000;450000;1580000
2015;Indonesia;Galaxy A7;320000;300000;370000;420000;1410000
2015;USA;Galaxy A7;520000;500000;480000;570000;2070000
2015;Brazil;Galaxy A7;410000;390000;360000;470000;1630000
2016;Indonesia;Galaxy A8;340000;320000;390000;440000;1490000
2016;USA;Galaxy A8;540000;520000;500000;600000;2160000
2016;Korea;Galaxy A8;450000;430000;400000;500000;1780000
2017;Indonesia;Galaxy A9;360000;340000;410000;460000;1570000
2017;USA;Galaxy A9;560000;540000;520000;620000;2240000
2017;Jerman;Galaxy A9;480000;460000;430000;530000;1900000
2018;Indonesia;Galaxy A10;380000;360000;430000;480000;1650000
2018;USA;Galaxy A10;580000;560000;540000;640000;2320000
2018;India;Galaxy A10;500000;480000;450000;550000;1980000
2019;Indonesia;Galaxy A20;400000;380000;450000;500000;1730000
2019;USA;Galaxy A20;600000;580000;550000;650000;2380000
2019;China;Galaxy A20;550000;530000;500000;600000;2180000
2020;Indonesia;Galaxy A30;420000;400000;470000;520000;1810000
2020;USA;Galaxy A30;620000;600000;570000;670000;2460000
2020;Rusia;Galaxy A30;580000;560000;530000;630000;2300000
2021;Indonesia;Galaxy A50;450000;430000;500000;550000;1930000
2021;USA;Galaxy A50;650000;630000;600000;700000;2580000
2021;Inggris;Galaxy A50;570000;550000;520000;620000;2260000
2022;Indonesia;Galaxy A52;480000;460000;530000;580000;2050000
2022;USA;Galaxy A52;680000;660000;630000;730000;2700000
2022;India;Galaxy A52;600000;580000;550000;650000;2380000
2023;Indonesia;Galaxy A72;500000;480000;550000;600000;2130000
2023;USA;Galaxy A72;700000;680000;650000;750000;2780000
2023;Brasil;Galaxy A72;620000;600000;570000;670000;2460000
2024;Indonesia;Galaxy A73;520000;500000;570000;620000;2210000
2024;USA;Galaxy A73;720000;700000;670000;770000;2860000
2024;Inggris;Galaxy A73;640000;620000;590000;690000;2540000
